"Kazalniki za investicije za varstvo okolja po: STATISTIÈNA REGIJA,"
"INVESTICIJE , LETO"

" ";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"SLOVENIJA";0.2;0.2;0.2;0.2;0.2;0.2;0.8;0.9;0.9;1.2;0.8;1.0;1.0;1.1;1.1;0.5
"VZHODNA SLOVENIJA";0.3;0.3;0.4;0.2;0.3;0.3;1.0;1.1;1.2;1.9;1.1;1.4;1.4;1.2;0.8;0.5
"Pomurska";0.0;0.1;0.2;0.1;0.7;0.5;0.4;0.8;0.4;11.1;0.3;0.2;0.2;0.4;1.4;0.6
"Podravska";0.2;0.2;0.2;0.1;0.1;0.2;0.2;0.4;0.2;0.8;0.3;0.7;0.7;0.5;0.6;0.2
"Koroška";0.2;0.2;0.2;0.1;0.2;0.5;2.0;1.1;0.6;0.4;2.3;0.6;0.6;2.2;0.5;0.5
"Savinjska";0.7;0.5;0.5;0.4;0.4;0.5;2.2;2.7;2.0;2.4;2.9;3.1;3.1;3.5;1.2;0.4
"Zasavska";0.2;0.3;0.2;0.6;0.7;0.9;1.2;0.9;0.7;1.3;0.9;1.6;1.6;1.6;0.8;0.3
"Posavska";0.3;0.3;1.9;0.2;0.1;0.1;0.9;1.0;2.9;0.1;0.1;2.1;2.1;0.7;0.6;2.2
"Jugovzhodna Slovenija";0.1;0.1;0.1;0.1;0.1;0.1;0.5;0.4;1.9;0.2;0.1;0.7;0.7;0.8;0.3;0.3
"Primorsko-notranjska";0.5;0.1;0.1;0.1;0.1;0.1;0.6;0.5;0.4;0.2;0.3;0.1;0.1;1.5;0.2;0.1
"ZAHODNA SLOVENIJA";0.1;0.2;0.1;0.1;0.1;0.1;0.6;0.8;0.8;0.5;0.5;0.8;0.8;1.1;1.5;0.6
"Osrednjeslovenska";0.1;0.1;0.1;0.1;0.1;0.1;0.6;0.7;0.6;0.6;0.6;0.9;0.9;0.9;1.7;0.7
"Gorenjska";0.1;0.4;0.2;0.1;0.2;0.2;0.6;0.8;1.0;0.5;0.6;0.4;0.4;1.1;2.0;0.5
"Goriška";0.1;0.1;0.1;0.2;0.1;0.2;0.5;0.8;0.9;0.2;0.2;1.0;1.0;0.7;0.3;0.4
"Obalno-kraška";0.2;0.2;0.2;0.1;0.2;0.2;0.8;1.1;1.7;0.5;0.2;0.5;0.5;0.2;0.3;0.3

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8209"
"target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS "
"3.Opombe o spremembah posameznih regij so zapisane k vsaki "
"spremenjeni regiji in so ob izpisu tabele na zaslon dostopne s klikom "
"na ikono za opombe (zvezdica). V opombah je na zaèetku naveden datum, "
"s katerim je opisana teritorialna sprememba upoštevana pri "
"teritorialnem razvršèanju enot za statistiène namene."

