"Izbrani kazalniki za odpadke po: KOHEZIJSKA/STATISTIÈNA REGIJA, LETO ,"
"KAZALNIK"

" ";"2002";" ";" ";" ";" ";" ";"2003";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";"2017";" ";" ";" ";" ";" "
" ";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)";"Nastali komunalni odpadki (kg/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"Loèeno zbrani komunalni odpadki (% od nastalih)";"Odloženi komunalni odpadki (kg/prebivalca)";"Odpadki iz proizvodnih in storitvenih dejavnosti (% po regijah)";"Nevarni odpadki iz proizvodnih in storitvenih dejavnosti (% od vseh)"
"SLOVENIJA";426;379;9.6;-;100.0;2.2;441;394;14.3;-;100.0;1.4;417;395;11.1;324.0;100.0;1.9;422;399;11.7;316.0;100.0;2.4;431;414;13.4;361.0;100.0;1.8;439;419;15.4;362.0;100.0;1.7;453;416;17.9;340.0;100.0;2.4;449;404;29.1;307.0;100.0;1.6;422;389;32.1;272.0;100.0;1.8;352;352;39.6;204.0;100.0;2.4;362;327;46.3;153.0;100.0;3.1;414;320;62.8;109.0;100.0;3.0;433;323;64.7;101.0;100.0;3.7;451;315;68.6;101.1;100.0;3.2;465;336;67.9;26.6;100.0;2.5;478;339;70.0;32.4;100.0;2.4
"Vzhodna Slovenija";-;347;11.2;-;77.7;1.5;-;362;13.2;-;69.7;1.2;-;368;10.1;313.0;63.5;1.9;-;359;11.2;286.0;67.5;2.2;-;376;14.2;338.0;66.8;1.3;-;401;14.8;319.0;60.1;1.2;-;394;17.3;290.0;62.4;1.5;-;352;26.8;312.0;60.6;1.2;-;360;27.9;295.0;58.9;1.6;-;325;36.4;219.0;69.6;1.3;329;296;44.1;146.0;71.9;1.8;385;291;60.8;91.0;71.4;1.9;410;300;62.6;77.0;64.4;2.9;425;291;66.8;76.4;63.5;2.3;436;307;66.2;27.9;56.5;2.4;447;308;68.4;36.2;58.3;2.3
"Pomurska";-;350;8.3;-;4.3;7.6;-;339;7.3;-;4.3;7.2;-;334;5.9;263.0;6.5;3.6;-;260;5.7;245.0;5.0;4.7;-;289;12.2;326.0;4.2;5.1;-;446;25.5;302.0;5.3;2.4;-;405;31.3;305.0;5.6;4.8;-;397;31.5;284.0;4.5;4.6;-;313;25.0;240.0;4.2;4.7;-;285;33.0;183.0;3.2;4.2;306;271;42.0;143.0;4.8;4.6;372;278;59.7;64.0;5.3;4.5;399;289;60.5;59.0;3.7;6.4;424;288;67.1;69.7;2.7;8.1;429;301;66.0;58.3;3.3;6.5;454;314;69.8;57.7;2.5;7.6
"Podravska";-;391;9.0;-;5.9;4.8;-;401;12.4;-;6.5;3.3;-;369;13.5;194.0;10.7;6.2;-;412;16.8;174.0;7.9;12.1;-;444;20.7;247.0;10.5;2.1;-;401;17.9;181.0;5.6;2.6;-;385;22.3;173.0;8.7;1.5;-;396;37.8;274.0;4.9;2.5;-;387;34.3;139.0;4.3;4.0;-;328;43.6;150.0;5.9;3.8;351;316;54.8;116.0;8.8;4.8;406;312;67.0;83.0;6.3;6.2;431;321;67.4;53.0;7.4;4.9;438;303;70.0;48.8;6.7;5.0;464;335;70.3;14.2;7.0;3.4;463;323;71.6;13.6;5.8;4.0
"Koroška";-;268;18.5;-;3.3;7.3;-;306;36.5;-;2.7;5.7;-;325;15.3;281.0;1.9;7.9;-;359;9.3;311.0;2.8;2.6;-;369;8.4;343.0;2.6;8.2;-;376;9.6;331.0;2.8;7.2;-;361;10.1;326.0;2.9;7.6;-;348;10.7;322.0;3.6;4.1;-;342;12.1;320.0;2.5;9.8;-;318;13.7;281.0;3.1;7.0;301;266;12.3;183.0;3.2;6.2;327;233;44.3;44.0;3.5;9.9;350;240;45.2;44.0;3.9;9.3;382;247;55.2;40.0;1.9;21.4;381;252;52.9;52.2;2.0;17.8;391;252;54.6;55.1;3.0;12.5
