"Nastale kolièine komunalnih odpadkov in ravnanje z njimi (tone) po:"
"SEZNAM ODPADKOV, LETO , MERITVE"

" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza";"Nastala kolièina - SKUPAJ";"... zbrano z javnim odvozom";"... zbrano izven javnega odvoza"
"Seznam odpadkov - SKUPAJ";756846;756846;-;785952;785952;-;788601;788601;-;797721;797721;-;831578;831578;-;846892;846892;-;847451;847451;-;826173;825747;-;801959;796413;-;725485;721720;-;678190;671835;-;861739;659848;193540;908869;665767;225941;943695;650111;279351;971027;693655;265861;1003836;699510;287641
"1501 EMBALAŽA VKLJUÈNO Z LOÈENO ZBRANO EMB.";12369;12369;-;19106;19106;-;25125;25125;-;24815;24815;-;33348;33348;-;35731;35731;-;42093;42093;-;55615;55523;-;72369;71459;-;88144;87173;-;102484;101550;-;212191;114572;93385;228134;117499;105746;278938;121771;153488;241377;132011;104107;274317;141108;127292
"200101 Papir in karton";12943;12943;-;17994;17994;-;12855;12855;-;16515;16515;-;14293;14293;-;17890;17890;-;23649;23649;-;26263;26258;-;28219;28208;-;27910;27883;-;27853;27713;-;66594;34538;31894;76272;35814;40239;90627;34622;55545;107423;36707;70533;108367;36019;72109
"200102 Steklo";3104;3104;-;4226;4226;-;1622;1622;-;1365;1365;-;1097;1097;-;4628;4628;-;1493;1493;-;1015;1015;-;935;929;-;2094;2088;-;1968;1960;-;2369;1467;895;2028;1556;366;1862;1511;262;3324;1801;1482;3734;1937;1685
"200108 Organski kuhinjski odpadki";4956;4956;-;11158;11158;-;7564;7564;-;8959;8959;-;16568;16568;-;12991;12991;-;11322;11322;-;15686;15650;-;11834;11719;-;18064;18043;-;21179;21159;-;42772;22500;20247;48869;23202;24368;54334;23108;31194;58508;35468;21921;59394;38942;20292
