"Investicije za varstvo okolja po: STATISTIÈNA REGIJA, LETO , INVESTICIJE"

" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" "
" ";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki";"Investicije - SKUPAJ";"Varstvo zraka in klime";"Ravnanje z odpadki"
"SLOVENIJA";172767;54110;18373;212206;40690;37765;248861;48189;49324;191809;47525;36701;252249;60386;37114;292222;83121;57248;270829;68502;84023;346635;98873;71237;333464;74771;55850;408319;77032;171139;281248;144209;37594;394126;211147;45576;378505;133842;56113;405669;124303;56447;442498;70919;174903;212173;38809;92231
"Pomurska";939;117;534;5245;593;547;9368;392;1611;5421;1498;985;36288;584;2750;23656;4311;3472;4906;2623;325;11595;6452;1625;6114;2059;1090;150082;435;124166;4662;444;2609;23110;578;4682;2374;322;1623;6082;187;1924;20102;195;6732;9169;368;2519
"Podravska";27779;10749;1757;32132;9297;4098;24796;2979;8876;21491;2796;9385;21432;3622;8371;40778;5325;9569;11187;3002;4543;20448;3045;9858;11336;1014;5485;35959;2695;6330;15775;2703;4723;19823;2963;3363;34254;2227;4836;23042;1864;1803;30045;3096;5113;12171;4980;4425
"Koroška";5229;3468;175;5984;3735;814;6209;3451;1936;3059;1703;447;6723;5083;442;19517;15477;655;19361;8248;3797;11552;7160;1657;6061;2475;1224;3974;2033;269;22907;5005;8287;5702;4255;195;5653;4015;629;21948;3390;393;5362;2001;918;5095;2386;972
"Savinjska";65669;15298;9994;51039;6410;10570;59623;11246;8926;47096;9030;5842;61509;15615;5596;67814;15060;16258;87284;16294;43554;114764;29905;16773;78625;46491;3239;97823;46446;5179;120436;95245;4596;167594;159672;1557;127333;107349;1283;145154;90227;3603;51317;29479;2201;18965;5896;1665
"Zasavska";3472;1185;309;5500;1423;818;3918;1619;1223;10128;8408;392;14071;9339;100;18415;5888;3639;6286;2778;1112;5104;1434;1025;3498;852;268;6753;632;483;4604;1842;596;1243;254;357;7795;17;2605;7927;956;168;3858;691;905;1585;607;112
"Posavska";7106;426;613;8279;204;1961;57349;1314;10382;5391;4;568;3960;1193;755;5258;2437;789;9222;499;136;10918;2047;2487;30186;544;1032;1313;104;495;540;52;90;63374;182;16578;22114;254;17181;7616;221;4254;6866;185;3978;26663;105;18395
"Jugovzhodna Slovenija";4553;638;588;6652;121;1089;9877;1782;1648;8592;100;1177;11350;4553;1340;8079;1131;492;12176;1276;975;10949;2223;1991;42647;1416;1627;4174;2785;483;2875;1216;580;8809;2316;926;15735;2668;1443;17523;4013;2291;7667;1456;2212;8688;2629;2131
"Osrednjeslovenska";26494;8867;993;42785;11655;7657;43232;17151;8872;52562;14989;11630;53476;9915;11021;58116;17818;14943;73319;17985;24064;93024;26111;24228;71508;10399;31686;77015;15519;28700;82545;30671;12027;47619;13941;10773;121737;6939;19066;117222;15458;36798;239147;20188;138153;97721;14009;58380
"Gorenjska";6664;1832;680;37707;5204;6789;14426;4269;2900;14459;1782;3071;19004;2178;2925;23164;8513;2654;17510;6360;2068;24901;5648;5134;29447;1386;1758;15947;1170;2172;17390;3764;2547;27589;24183;914;12694;4600;2641;32371;5548;1849;64137;10574;12681;16085;3548;799
"Primorsko-notranjska";9205;7273;167;1949;284;321;1707;246;309;1861;125;225;2683;609;363;2641;255;597;3845;997;546;3635;153;774;2689;228;497;1448;120;518;2003;1130;94;1817;165;1031;812;53;2;9400;454;34;1152;320;213;783;187;167
"Goriška";5746;2107;1252;5258;672;1506;6510;1060;947;13011;5254;1448;9097;2629;1052;11776;3126;1853;9650;3565;1220;17172;9711;3957;17024;5724;3058;3562;1115;480;3345;1573;829;12955;2337;3118;19033;271;3369;13523;993;1968;6620;1847;557;9460;2992;1518
"Obalno-kraška";9902;2145;1310;9681;1089;1590;11847;2679;1694;8746;1832;1531;12665;5066;2391;13007;3781;2324;16085;4874;1683;22573;4983;1729;34329;2185;4887;10269;3977;1865;4168;564;615;14491;302;2083;8970;5129;1436;3863;993;1363;6226;887;1240;5786;1102;1147

"Vir: Statistièni urad Republike Slovenije. "
" "
" "
"Podatki do decembra 2006, to je pred vstopom Slovenije v EMU, so "
"preraèunani iz slovenskih tolarjev (SIT) z uporabo nepreklicnega "
"menjalnega razmerja (1 EUR = 239,64 SIT). Ta prikaz omogoèa èasovno "
"primerjavo v državi in ohranja kazalnike razvoja (stopnjo rasti)."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8209"
"target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. "
"Podatki o spremembah posameznih statistiènih regij so dostopni tudi "
"na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) "
"povezavi."

