"Kazalniki za investicije za varstvo okolja po: STATISTIÈNA REGIJA, LETO"
", INVESTICIJE"

" ";"2001";" ";" ";" ";" ";" ";" ";" ";"2002";" ";" ";" ";" ";" ";" ";" ";"2003";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";" "
" ";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)";"Sredstva, namenjena za investicije v varstvo okolja kot % od regionalnega BDP";"Sredstva, namenjena za investicije v varstvo okolja kot % od vseh investicij";"Investicije v varstvo okolja - skupaj (% po regijah)";"…investicije za varstvo zraka in podnebja (%)";"…investicije za ravnanje z odpadki (%)";"Tekoèi izdatki za varstvo okolja - skupaj (% po regijah)";"…tekoèi izdatki za varstvo zraka in podnebja (%)";"…tekoèi izdatki za ravnanje z odpadki (%)"
"SLOVENIJA";0.2;5.2;100.0;31.3;10.6;100.0;7.9;43.6;0.2;5.9;100.0;19.2;17.8;100.0;8.1;55.0;0.2;5.9;100.0;19.4;19.8;100.0;9.2;56.3;0.2;4.6;100.0;24.8;19.1;100.0;8.1;57.6;0.2;5.7;100.0;23.9;14.7;100.0;8.7;60.6;0.2;5.7;100.0;28.4;19.6;100.0;7.8;65.3;0.8;4.6;100.0;25.3;31.0;100.0;7.1;65.9;0.9;5.4;100.0;28.5;20.6;100.0;7.7;66.3;0.9;6.4;100.0;22.4;16.7;100.0;7.0;67.6;1.2;9.2;100.0;18.9;41.9;100.0;8.3;64.4;0.8;7.0;100.0;51.3;13.4;100.0;6.4;67.3;1.0;8.2;100.0;53.6;11.6;100.0;6.7;65.9;1.0;8.2;100.0;35.4;14.8;100.0;8.2;58.5;1.1;8.1;100.0;30.6;13.9;100.0;6.1;64.6;1.1;8.5;100.0;16.0;39.5;100.0;5.8;62.0;0.5;4.3;100.0;18.3;43.5;100.0;6.7;61.1
"VZHODNA SLOVENIJA";0.3;9.5;71.7;22.7;8.2;63.0;5.3;25.5;0.3;7.9;55.0;10.4;9.5;60.2;5.8;31.8;0.4;9.3;69.5;9.3;14.0;65.5;6.4;36.0;0.2;6.1;53.7;12.3;9.9;63.2;5.8;36.5;0.3;8.0;62.6;16.1;7.8;61.7;6.6;36.5;0.3;7.9;63.7;17.1;12.1;59.6;6.1;39.0;1.0;6.1;57.0;13.2;20.3;59.8;5.2;39.7;1.1;4.5;54.5;15.1;10.4;62.3;5.2;43.7;1.2;8.9;54.3;16.5;4.3;57.2;4.6;39.6;1.9;15.1;73.8;13.5;33.8;52.4;6.0;33.8;1.1;10.3;61.8;38.3;7.7;56.0;70.7;59.0;1.4;13.5;74.0;43.2;7.3;56.9;71.0;58.7;1.4;9.4;57.1;30.9;7.8;52.1;74.4;50.8;1.2;10.4;58.8;25.0;3.6;56.4;69.4;58.7;0.8;6.4;28.6;8.5;5.0;54.3;60.3;56.6;0.5;4.5;39.2;8.1;14.3;50.5;54.2;53.2
"Pomurska";0.0;1.2;0.5;0.1;0.3;2.7;0.0;2.1;0.1;5.7;2.5;0.3;0.3;4.4;0.2;2.7;0.2;7.1;3.8;0.2;0.6;1.8;0.0;1.2;0.1;3.5;2.8;0.8;0.5;2.6;0.1;1.7;0.7;21.1;14.4;0.2;1.1;3.4;0.0;1.6;0.5;10.8;8.1;1.5;1.2;2.9;0.1;1.7;0.4;1.9;1.8;1.0;0.1;3.1;0.1;1.7;0.8;4.1;3.3;1.9;0.5;5.3;0.1;3.7;0.4;4.4;1.8;0.6;0.3;5.1;0.1;4.1;11.1;...;36.8;0.1;30.4;5.8;0.1;4.6;0.3;4.2;1.7;0.2;0.9;4.4;0.1;3.4;0.2;13.9;5.9;0.1;1.2;5.0;2.2;5.3;0.2;1.7;0.6;0.1;0.4;5.2;0.1;4.0;0.4;3.8;1.5;0.0;0.5;4.8;0.1;3.8;1.4;8.8;4.5;0.0;1.5;4.2;0.1;1.5;0.6;6.6;4.3;0.2;1.2;2.7;0.1;1.4
"Podravska";0.2;7.7;16.1;6.2;1.0;7.8;1.0;3.9;0.2;7.9;15.1;4.4;1.9;9.6;1.0;6.2;0.2;5.8;10.0;1.2;3.6;31.2;1.2;20.7;0.1;5.0;11.2;1.5;4.9;28.5;0.8;20.5;0.1;4.3;8.5;1.4;3.3;27.0;1.0;21.3;0.2;5.8;14.0;1.8;3.3;29.7;0.9;23.6;0.2;1.4;4.1;1.1;1.7;26.0;0.4;21.3;0.4;2.3;5.9;0.9;2.8;26.3;0.4;23.3;0.2;1.7;3.4;0.3;1.6;19.9;0.3;16.9;0.8;5.7;8.8;0.7;1.6;14.8;0.7;10.2;0.3;3.8;5.6;1.0;1.7;22.3;0.7;18.6;0.7;4.5;5.0;0.8;0.9;22.3;8.3;28.4;0.7;8.2;9.0;0.6;1.3;12.8;1.9;6.9;0.5;5.0;5.7;0.5;0.4;22.2;1.5;17.8;0.6;6.4;6.8;0.7;1.2;19.5;0.8;15.9;0.2;2.6;5.7;2.3;2.1;16.5;0.7;12.6
"Koroška";0.2;9.3;3.0;2.0;0.1;5.0;0.4;4.3;0.2;11.4;2.8;1.8;0.4;3.7;0.2;3.2;0.2;10.6;2.5;1.4;0.8;2.6;0.2;2.2;0.1;3.5;1.6;0.9;0.2;3.9;0.3;2.6;0.2;6.3;2.7;2.0;0.2;3.2;0.3;2.5;0.5;16.9;6.7;5.3;0.2;3.5;0.3;2.7;2.0;12.4;7.1;3.0;1.4;5.2;0.3;4.5;1.1;6.8;3.3;2.1;0.5;4.6;0.3;4.2;0.6;5.8;1.8;0.7;0.4;4.1;0.2;3.7;0.4;5.4;1.0;0.5;0.1;5.8;0.3;5.2;2.3;19.1;8.1;1.8;2.9;5.8;0.2;5.2;0.6;4.7;1.4;1.1;0.0;5.0;5.1;6.8;0.6;5.1;1.5;1.1;0.2;6.8;0.2;6.3;2.2;20.6;5.4;0.8;0.1;6.5;0.2;5.9;0.5;3.4;1.2;0.5;0.2;7.3;0.2;6.8;0.5;4.5;2.4;1.1;0.5;7.8;0.2;7.1
"Savinjska";0.7;13.1;38.0;8.9;5.8;19.7;3.0;8.5;0.5;8.3;24.1;3.0;5.0;22.8;3.7;14.4;0.5;7.2;24.0;4.5;3.6;16.5;4.4;6.7;0.4;10.7;24.6;4.7;3.0;16.7;4.0;7.2;0.4;12.7;24.4;6.2;2.2;16.4;4.6;6.8;0.5;12.4;23.2;5.2;5.6;14.8;3.9;6.7;2.2;13.3;32.2;6.0;16.1;16.2;3.7;7.3;2.7;17.1;33.1;8.6;4.8;15.6;3.4;6.6;2.0;16.6;23.6;13.9;1.0;13.0;3.3;6.3;2.4;17.5;24.0;11.4;1.3;14.1;4.3;6.3;2.9;25.9;42.8;33.9;1.6;13.4;3.0;6.2;3.1;22.9;42.5;40.5;0.4;13.3;49.4;8.6;3.1;13.4;33.6;28.4;0.3;14.8;3.4;6.4;3.5;18.0;35.8;22.2;0.9;13.7;2.2;5.9;1.2;8.8;11.6;6.7;0.5;12.5;2.0;5.7;0.4;3.8;8.9;2.8;0.8;11.3;2.1;5.7
"Zasavska";0.2;6.7;2.0;0.7;0.2;2.1;0.2;0.6;0.3;14.7;2.6;0.7;0.4;0.9;0.1;0.3;0.2;9.9;1.6;0.7;0.5;0.8;0.1;0.3;0.6;21.2;5.3;4.4;0.2;1.0;0.1;0.1;0.7;24.3;5.6;3.7;0.0;0.5;0.1;0.2;0.9;35.5;6.3;2.0;1.2;0.6;0.3;0.2;1.2;13.7;2.3;1.0;0.4;0.9;0.4;0.3;0.9;6.7;1.5;0.4;0.3;0.9;0.4;0.3;0.7;5.9;1.0;0.3;0.1;0.9;0.4;0.4;1.3;13.3;1.7;0.2;0.1;1.0;0.3;0.5;0.9;11.4;1.6;0.7;0.2;0.8;0.2;0.4;1.6;3.0;0.3;0.1;0.1;0.9;2.2;0.8;1.6;18.6;2.1;0.0;0.7;0.9;0.2;0.5;1.6;13.4;2.0;0.2;0.0;0.7;0.1;0.5;0.8;5.2;0.9;0.2;0.2;0.7;0.0;0.4;0.3;3.0;0.7;0.3;0.1;0.8;0.0;0.4
"Posavska";0.3;10.2;4.1;0.2;0.4;16.3;0.1;1.1;0.3;9.2;3.9;0.1;0.9;10.8;0.1;1.0;1.9;46.4;23.0;0.5;4.2;6.5;0.1;1.7;0.2;3.0;2.8;0.0;0.3;4.6;0.1;1.3;0.1;2.7;1.6;0.5;0.3;5.2;0.1;1.5;0.1;4.4;1.8;0.8;0.3;2.2;0.1;1.4;0.9;7.3;3.4;0.2;0.1;2.6;0.1;1.5;1.0;6.5;3.1;0.6;0.7;2.8;0.0;1.8;2.9;19.3;9.1;0.2;0.3;7.6;0.1;5.2;0.1;0.8;0.3;0.0;0.1;3.2;0.1;2.6;0.1;0.3;0.2;0.0;0.0;3.1;0.1;2.4;2.1;38.0;16.1;0.0;4.2;4.2;0.7;3.7;2.1;15.2;5.8;0.1;4.5;4.1;0.1;2.0;0.7;4.4;1.9;0.1;1.0;3.1;0.0;1.7;0.6;5.0;1.6;0.0;0.9;3.1;0.1;1.6;2.2;14.2;12.6;0.0;8.7;3.4;0.1;1.8
"Jugovzhodna Slovenija";0.1;3.4;2.6;0.4;0.3;8.0;0.5;4.6;0.1;4.8;3.1;0.1;0.5;6.6;0.3;3.5;0.1;5.0;4.0;0.7;0.7;5.0;0.2;2.7;0.1;3.0;4.5;0.1;0.6;4.8;0.2;2.7;0.1;2.6;4.5;1.8;0.5;4.9;0.3;2.1;0.1;1.6;2.8;0.4;0.2;4.7;0.5;2.3;0.5;3.2;4.5;0.5;0.4;4.8;0.2;2.6;0.4;2.5;3.2;0.6;0.6;5.2;0.2;3.3;1.9;13.0;12.8;0.4;0.5;5.7;0.2;2.6;0.2;1.3;1.0;0.7;0.1;6.7;0.2;4.0;0.1;1.1;1.0;0.4;0.2;5.4;0.2;3.0;0.7;2.0;2.2;0.6;0.2;5.2;2.4;4.5;0.7;3.7;4.2;0.7;0.4;6.2;0.2;3.2;0.8;4.1;4.3;1.0;0.6;4.2;0.2;1.8;0.3;3.3;1.7;0.3;0.5;5.5;0.2;2.7;0.3;2.9;4.1;1.2;1.0;7.1;0.4;3.1
